geonames_summary,geonames_elevation,geonames_geoNameId,geonames_lng,geonames_countryCode,geonames_rank,geonames_thumbnailImg,geonames_lang,geonames_title,geonames_lat,geonames_wikipediaUrl,geonames_feature
"Puttaparthi is a town in Anantapur district of Andhra Pradesh, India. The original name of Puttaparthi was . The place is popularly known by the world at large as the birthplace of Sri Sri Sathya Sai Baba.  (...)",466,6621344,77.811,IN,94,http://www.geonames.org/img/wikipedia/115000/thumb-114855-100.jpg,en,Puttaparthi,14.166,en.wikipedia.org/wiki/Puttaparthi,
"Tiruvannamalai (Tamil: Tiruvaṇṇāmalai IPA: , also Thiruvannamalai or Trinomali and Trinomalee during British times) is a town in the Indian state of Tamil Nadu. The town is administered by a special grade municipality that covers an area of and had a population of 144,278 in 2011 (...)",175,1254327,79.07,IN,100,http://www.geonames.org/img/wikipedia/115000/thumb-114938-100.jpg,en,Tiruvannamalai,12.22,en.wikipedia.org/wiki/Tiruvannamalai,city
"Hampi (Hampe) is a village in northern Karnataka, India. It was one of the richest and largest cities in the world during its prime. The name Hampi can also mean ""champion"". It is located within the ruins of the city of Vijayanagara, the former capital of the Vijayanagara Empire (...)",430,1270448,76.466667,IN,100,http://www.geonames.org/img/wikipedia/17000/thumb-16545-100.jpg,en,Hampi,15.333333,en.wikipedia.org/wiki/Hampi,city
"Thiruvananthapuram (Malayalam:തിരുവനതപുരം Tiruvaṉantapuram), formally known as Trivandrum, is the capital city of the Indian state of Kerala. It is the largest and the most populous city corporation in Kerala and the fifth largest urban agglomeration in Kerala.http://www.census2011.co (...)",11,,76.952,IN,100,http://www.geonames.org/img/wikipedia/127000/thumb-126419-100.jpg,en,Thiruvananthapuram,8.4874,en.wikipedia.org/wiki/Thiruvananthapuram,
"Chennai International Airport is the primary airport serving the South Indian metropolis of Chennai. The airport is spread across the suburban areas of Meenambakkam, Pallavaram and Tirusulam. For the Fiscal year 2014-15, it is the fourth busiest airport in India in terms of passenger traffic after (...)",11,6301127,80.18051666666668,IN,100,http://www.geonames.org/img/wikipedia/9000/thumb-8444-100.jpg,en,Chennai International Airport,12.994413888888888,en.wikipedia.org/wiki/Chennai_International_Airport,airport
"The M. Chinnaswamy Stadium, located in Bengaluru, Karnataka, is one of the cricket stadiums of India. Flanked by the picturesque Cubbon Park, Queen's Road, Cubbon and uptown MG Road, this four decade old stadium is situated in the heart of the city of Bangalore (...)",936,,77.59955555555555,,98,http://www.geonames.org/img/wikipedia/125000/thumb-124296-100.jpg,en,M. Chinnaswamy Stadium,12.978805555555555,en.wikipedia.org/wiki/M._Chinnaswamy_Stadium,landmark
"Salem (pronunciation) is a city in Salem district in the Indian state of Tamil Nadu. It is located about northeast of Coimbatore, southeast of Bangalore and about southwest of the state capital, Chennai. Salem is the sixth largest city in Tamil Nadu by population and covers .  (...)",276,1257629,78.14583333333334,IN,100,http://www.geonames.org/img/wikipedia/151000/thumb-150448-100.jpg,en,"Salem, Tamil Nadu",11.655277777777778,en.wikipedia.org/wiki/Salem%2C_Tamil_Nadu,
"Mysore , officially renamed as Mysuru, is the third largest city in terms of population in the state of Karnataka, India, which served as the capital city of Mysore Princely Kingdom (Kingdom of Mysore) for nearly six centuries, from 1399 until 1947 (...)",746,1262321,76.64611,IN,100,http://www.geonames.org/img/wikipedia/95000/thumb-94820-100.jpg,en,Mysore,12.303534,en.wikipedia.org/wiki/Mysore,city
"Bengaluru Rural District is one of the 30 districts in Karnataka. It was formed in 1986, when Bangalore district was divided into Bangalore Rural and Bangalore (Urban). Presently in Bangalore Rural district, there are 2 divisions, 4 Talukas, 35 Hoblis (cluster of villages), 1,713 inhabited and 177 (...)",929,,77.5833,IN,97,,en,Bangalore Rural district,12.9833,en.wikipedia.org/wiki/Bangalore_Rural_district,city
"Bangalore , officially known as Bengaluru , is the capital of the Indian state of Karnataka. It has a population of about and a metropolitan population of about , making it the third most populous city and fifth most populous urban agglomeration in India (...)",908,1277333,77.57,BY,100,http://www.geonames.org/img/wikipedia/62000/thumb-61337-100.jpg,en,Bangalore,12.97,en.wikipedia.org/wiki/Bangalore,city
